CID,SMILES
BENZO_0,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_1,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_2,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_3,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_4,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_5,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_6,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_7,CCC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_8,CCC(=O)Nc1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_9,CCC(=O)Nc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_10,O=C(Nn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCCCC2)cc1
BENZO_11,O=C(Nn1nnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCCCC2)cc1
BENZO_12,O=C(Nn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCCCC2)cc1
BENZO_13,O=C(Nn1nnc2ccccc21)N(Cc1ccoc1)c1ccc(N2CCCCC2)cc1
BENZO_14,Cn1ccc(CN(C(=O)Nn2nnc3ccccc32)c2ccc(N3CCCCC3)cc2)c1
BENZO_15,Cc1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_16,Cc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_17,Cc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_18,Cc1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_19,Cc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_20,COc1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_21,COc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_22,COc1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_23,COc1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_24,COc1ccc(N(Cc2ccn(C)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_25,O=C1CCCCN1c1ccc(N(Cc2ccsc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_26,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_27,O=C1CCCCN1c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_28,O=C1CCCCN1c1ccc(N(Cc2ccoc2)C(=O)Nn2nnc3ccccc32)cc1
BENZO_29,Cn1ccc(CN(C(=O)Nn2nnc3ccccc32)c2ccc(N3CCCCC3=O)cc2)c1
BENZO_30,O=C(Nn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(N2CCOCC2)cc1
BENZO_31,O=C(Nn1nnc2ccccc21)N(Cc1ccccc1)c1ccc(N2CCOCC2)cc1
BENZO_32,O=C(Nn1nnc2ccccc21)N(Cc1cccc(Cl)c1)c1ccc(N2CCOCC2)cc1
BENZO_33,O=C(Nn1nnc2ccccc21)N(Cc1ccoc1)c1ccc(N2CCOCC2)cc1
BENZO_34,Cn1ccc(CN(C(=O)Nn2nnc3ccccc32)c2ccc(N3CCOCC3)cc2)c1
BENZO_35,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_36,CN(C)c1ccc(N(Cc2ccccc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_37,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_38,CN(C)c1ccc(N(Cc2ccoc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_39,CN(C)c1ccc(N(Cc2ccn(C)c2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_40,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Nn2cnc3ccccc32)cc1
BENZO_41,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nn2cnc3ccccc32)cc1
