SMILES, TITLE, Smiles, Title, RBFE / kcalmol
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3coc(n3)C4CCCCC4, EN300-382173,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3coc(n3)C4CCCCC4, EN300-382173,-4.9 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3nnc(o3)C4CCCCC4, EN300-1266528,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3nnc(o3)C4CCCCC4, EN300-1266528,-2.3 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(o3)[C@H]4C[C@H]4C, EN300-1940535,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(o3)[C@H]4C[C@H]4C, EN300-1940535,-2.3 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cnc(o3)[C@H]4C[C@H]4C, EN300-330332,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cnc(o3)[C@H]4C[C@H]4C, EN300-330332,-2.3 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccn(n3)c4cc(ccc4F)F, EN300-1084907,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccn(n3)c4cc(ccc4F)F, EN300-1084907,-2.1 (0.2)
CCOC(=O)C(Cn1cc(nn1)COc2cc(cc(c2)Cl)CC(=O)Nc3cnccc3C)(F)F, EN300-843777,CCOC(=O)C(Cn1cc(nn1)COc2cc(cc(c2)Cl)CC(=O)Nc3cnccc3C)(F)F, EN300-843777,-2.0 (0.4)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)Oc3ccc(c(c3)O)CBr, EN300-1915724,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)Oc3ccc(c(c3)O)CBr, EN300-1915724,-1.9 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)CCC[NH3+], EN300-844309,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)CCC[NH3+], EN300-844309,-1.9 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)[C@@H]4CCOC5(C4)CC[NH2+]CC5, EN300-843582,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nn3)[C@@H]4CCOC5(C4)CC[NH2+]CC5, EN300-843582,-1.8 (0.3)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCN(=O)=O, EN300-87636,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCN(=O)=O, EN300-87636,-1.7 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nc3C)C4CCC(CC4)(C)C, EN300-1461330,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nc3C)C4CCC(CC4)(C)C, EN300-1461330,-1.6 (0.3)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCS(=O)(=O)Cl, EN300-4257713,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCS(=O)(=O)Cl, EN300-4257713,-1.5 (0.1)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCS(=O)(=O)Cl, EN300-43523,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCS(=O)(=O)Cl, EN300-43523,-1.4 (0.1)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nc3C)C4CCCCC4, EN300-1461309,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn(nc3C)C4CCCCC4, EN300-1461309,-1.2 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cnc(s3)OC, EN300-1918616,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cnc(s3)OC, EN300-1918616,-1.2 (0.3)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c(c[nH]n3)N(=O)=O, EN300-1927181,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3c(c[nH]n3)N(=O)=O, EN300-1927181,-1.2 (0.2)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ncc(o3)c4ccccc4, EN300-3051713,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ncc(o3)c4ccccc4, EN300-3051713,-1.1 (0.2)
