MOL, HIS163 (N-N), GLU166 (N-O), affinity, low, high
EN300-60314, 2.32, 2.72, 8.10,8.55, 7.67 
EN300-52283, 1.81, 2.91, 0.17,0.46, -0.22 
EN300-52283, 3.86, 6.65, 0.17,0.46, -0.22 
EN300-59896, 2.34, 3.02, 0.56,0.97, 0.00 
EN300-59896, NA, NA, 0.56,0.97, 0.00 
EN300-75221, 2.60, 2.84, 0.60,1.21, 0.15 
EN300-75221, 2.06, 2.83, 0.60,1.21, 0.15 
EN300-89718, 2.29, 2.79, 0.21,0.53, -0.11 
EN300-89718, 2.25, 2.86, 0.21,0.53, -0.11 
EN300-136221, 2.27, 7.25, 1.20,1.84, 0.32 
EN300-131018, 2.86, 2.91, 0.39,1.06, -0.43 
EN300-59553, 3.85, 4.30, 9.55,9.81, 9.28 
EN300-124496, 2.28, 2.85, 2.21,2.54, 1.93 
EN300-189763, 2.47, 2.86, 0.08,0.30, -0.15 
EN300-189763, 2.08, 2.88, 0.08,0.30, -0.15 
EN300-212829, 2.31, 2.78, 1.08,1.98, 0.21 
EN300-363585, 1.86, 3.28, 0.23,0.57, -0.09 
EN300-344955, 4.04, 6.71, 0.23,0.54, -0.14 
EN300-703002, 1.94, 6.38, 0.71,0.99, 0.39 
EN300-312320, 2.24, 6.96, 0.62,0.97, 0.09 
EN300-262201, 2.87, 3.24, 0.42,0.64, 0.24 
EN300-262200, 2.03, 2.85, 0.56,0.74, 0.31 
EN300-321398, 2.65, 3.12, 0.25,0.72, -0.23 
EN300-321398, 2.21, 5.75, 0.25,0.72, -0.23 
EN300-352243, 2.34, 3.01, 0.25,0.55, 0.01 
EN300-352243, 2.61, 5.46, 0.25,0.55, 0.01 
EN300-384108, 2.27, 6.50, 0.63,0.96, 0.29 
EN300-393345, 2.10, 6.86, 1.85,2.40, 1.27 
EN300-650549, 2.13, 6.11, 0.08,0.79, -0.62 
EN300-378161, 2.32, 6.64, 0.21,0.47, -0.08 
EN300-1074309, NA, NA, 0.13,0.57, -0.32 
EN300-1074309, 2.09, 6.97, 0.13,0.57, -0.32 
EN300-1700325, 1.97, 2.95, 0.08,0.44, -0.42 
EN300-1708634, 1.94, 5.68, 1.59,2.30, 0.92 
EN300-1708634, 2.28, 5.48, 1.59,2.30, 0.92 
EN300-2009339, 2.10, 6.48, 3.20,3.73, 2.63 
EN300-2009339, 2.07, 2.77, 3.20,3.73, 2.63 
EN300-6486612, 2.80, 2.92, 3.18,3.51, 2.92 
EN300-6486612, 2.11, 5.77, 3.18,3.51, 2.92 
EN300-6497035, NA, NA, 1.84,2.13, 1.57 
EN300-6497035, 4.26, 6.70, 1.84,2.13, 1.57 
EN300-6497035, NA, NA, 1.84,2.13, 1.57 
EN300-6497035, NA, NA, 1.84,2.13, 1.57 
EN300-6497035, 2.19, 6.04, 1.84,2.13, 1.57 
EN300-6497035, 2.07, 6.51, 1.84,2.13, 1.57 
EN300-6497035, NA, NA, 1.84,2.13, 1.57 
EN300-6497035, NA, NA, 1.84,2.13, 1.57 
EN300-6734624, 2.11, 3.07, 8.35,9.12, 7.81 
EN300-6736658, 2.40, 6.45, 0.23,0.81, -0.30 
EN300-7430703, 2.86, 3.23, 0.47,0.83, 0.08 
EN300-7445610, 1.91, 2.93, 0.80,1.01, 0.63 
EN300-26620085, 5.64, 4.84, 0.21,0.74, -0.46 
EN300-26667249, 2.20, 5.55, 0.09,0.39, -0.26 
EN300-26667249, 2.08, 6.76, 0.09,0.39, -0.26 
EN300-20814457, 2.64, 2.98, 10.72,10.98, 10.37 
